t,S,L,I,R,D,incI,incR,incFC,incFI,incC,incDC,incD,incDD,incSDB,incTC,incETU,incH,incCT,incCC,cumT,cumTP,cumV,capV,cumVG,capVG,nBeds,Extinct,Detected,rmsRad,maxRad
82,797876.000000,11,27,33,40,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.309731,0.511516
83,797876.000000,11,24,35,41,0,2,0,0,2,1,3,2,2,0,1,0,11,1,0,0,0,3000,0,6000,48,0,1,0.309731,0.511516
84,797876.000000,11,22,35,43,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.309731,0.511516
85,797874.000000,13,20,36,44,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.310482,0.511516
86,797873.000000,13,18,38,45,1,2,0,0,1,1,1,0,0,0,0,0,5,1,0,0,0,3000,0,6000,48,0,1,0.310841,0.511516
87,797873.000000,11,20,38,45,0,0,0,0,2,1,0,0,0,0,2,0,2,1,0,0,0,3000,0,6000,48,0,1,0.310841,0.511516
88,797872.000000,10,22,38,45,1,0,0,0,2,3,0,0,0,0,1,0,97,2,0,0,0,3000,0,6000,48,0,1,0.3112,0.511516
89,797872.000000,10,21,39,45,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.3112,0.511516
90,797872.000000,10,21,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.3112,0.511516
91,797872.000000,9,22,39,45,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.3112,0.511516
92,797872.000000,8,21,39,47,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.3112,0.511516
93,797871.000000,7,22,40,47,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.311547,0.511516
94,797869.000000,8,21,42,47,2,2,0,0,1,1,1,0,0,0,0,0,20,1,0,0,0,3000,0,6000,48,0,1,0.312221,0.511516
95,797869.000000,7,20,43,48,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.312221,0.511516
96,797865.000000,10,20,44,48,4,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.30999,0.511516
97,797864.000000,9,21,44,49,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.310326,0.511516
98,797864.000000,8,21,44,50,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.310326,0.511516
99,797863.000000,8,22,44,50,1,0,0,0,1,1,1,1,1,0,0,0,49,0,0,0,0,3000,0,6000,48,0,1,0.309498,0.511516
