t,S,L,I,R,D,incI,incR,incFC,incFI,incC,incDC,incD,incDD,incSDB,incTC,incETU,incH,incCT,incCC,cumT,cumTP,cumV,capV,cumVG,capVG,nBeds,Extinct,Detected,rmsRad,maxRad
78,797846.000000,10,23,58,50,0,1,0,0,2,1,0,0,0,0,2,0,0,1,0,0,0,4000,0,8000,48,0,1,0.245639,0.396108
79,797846.000000,10,22,59,50,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.245639,0.396108
80,797846.000000,10,20,60,51,0,1,0,0,0,0,3,2,2,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.245639,0.396108
81,797846.000000,10,18,60,53,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.245639,0.396108
82,797846.000000,8,18,61,54,0,1,0,0,0,1,1,0,0,0,1,0,6,0,0,0,0,4000,0,8000,48,0,1,0.245639,0.396108
83,797843.000000,10,18,62,54,3,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.245774,0.396108
84,797839.000000,13,18,62,55,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.248574,0.396108
85,797836.000000,15,17,64,55,3,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.252306,0.396108
86,797834.000000,15,18,64,56,2,0,0,0,2,2,1,0,0,0,0,0,9,2,0,0,0,4000,0,8000,48,0,1,0.252677,0.396108
87,797831.000000,16,19,65,56,3,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,4000,0,8000,48,0,1,0.25354,0.396108
88,797828.000000,17,21,65,56,3,0,0,0,1,0,2,2,2,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.256934,0.396108
89,797828.000000,16,20,65,58,0,0,0,0,2,2,3,1,1,0,1,0,20,0,0,0,0,4000,0,8000,48,0,1,0.256934,0.396108
90,797826.000000,17,20,65,59,2,0,0,1,1,1,2,1,1,0,1,0,9,0,0,0,0,4000,0,8000,48,0,1,0.258691,0.396108
91,797826.000000,17,19,65,60,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,4000,0,8000,48,0,1,0.258691,0.396108
92,797824.000000,16,22,65,60,2,0,0,0,3,1,0,0,0,0,2,0,28,1,0,0,0,4000,0,8000,48,0,1,0.259355,0.396108
93,797824.000000,14,23,66,60,0,1,0,0,1,2,1,0,0,0,3,0,37,0,0,0,0,4000,0,8000,48,0,1,0.259355,0.396108
94,797822.000000,13,25,66,61,2,0,0,0,4,2,2,1,1,0,0,0,1,1,0,0,0,4000,0,8000,48,0,1,0.260049,0.396108
95,797821.000000,13,24,67,62,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.260357,0.396108
96,797820.000000,13,24,68,62,1,1,0,0,2,1,0,0,0,0,1,0,11,1,0,0,0,4000,0,8000,48,0,1,0.260673,0.396108
97,797816.000000,16,25,68,62,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4000,0,8000,48,0,1,0.26265,0.396108
98,797814.000000,16,26,69,62,2,1,0,0,1,2,0,0,0,0,2,0,34,0,0,0,0,4000,0,8000,48,0,1,0.263399,0.396108
99,797814.000000,15,26,70,62,0,1,0,0,1,1,0,0,0,0,2,0,36,0,0,0,0,4000,0,8000,48,0,1,0.263399,0.396108
100,797813.000000,16,24,72,62,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,4000,0,8000,48,0,1,0.264339,0.396108
101,797813.000000,13,25,74,62,0,2,0,0,3,2,0,0,0,0,0,0,3,2,0,0,0,4000,0,8000,48,0,1,0.264339,0.396108
102,797811.000000,13,27,74,62,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4000,0,8000,48,0,1,0.266194,0.396108
103,797810.000000,13,28,74,62,1,0,0,0,2,2,1,1,1,0,2,0,25,1,0,0,0,4000,0,8000,48,0,1,0.267103,0.396108
104,797807.000000,16,26,75,63,3,1,0,0,0,1,3,1,1,0,1,0,8,1,0,0,0,4000,0,8000,48,0,1,0.267955,0.396108
105,797806.000000,17,24,75,65,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.26882,0.396108
106,797805.000000,18,23,76,65,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.269209,0.396108
107,797805.000000,17,22,77,66,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.269209,0.396108
108,797805.000000,16,23,77,66,0,0,0,0,2,2,2,2,2,0,1,0,13,1,0,0,0,4000,0,8000,48,0,1,0.269209,0.396108
109,797805.000000,12,25,77,68,0,0,0,0,1,2,3,1,1,0,1,0,33,1,0,0,0,4000,0,8000,48,0,1,0.269209,0.396108
110,797805.000000,9,26,78,69,0,1,0,0,6,4,1,0,0,0,2,0,13,4,0,0,0,4000,0,8000,48,0,1,0.269209,0.396108
111,797804.000000,10,26,78,69,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4000,0,8000,48,0,1,0.269442,0.396108
112,797803.000000,11,23,81,69,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.269685,0.396108
113,797803.000000,11,22,82,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.269685,0.396108
114,797802.000000,11,22,83,69,1,1,0,0,1,2,2,2,1,0,2,0,61,1,0,0,0,4000,0,8000,48,0,1,0.269924,0.396108
115,797802.000000,9,22,83,71,0,0,0,0,2,2,2,0,0,0,0,0,11,2,0,0,0,4000,0,8000,48,0,1,0.269924,0.396108
116,797801.000000,9,21,85,71,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.27075,0.396108
117,797801.000000,9,20,86,71,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,4000,0,8000,48,0,1,0.27075,0.396108
118,797800.000000,9,20,86,72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.271571,0.396108
119,797798.000000,11,20,86,72,2,0,0,0,1,1,1,1,1,0,0,0,21,1,0,0,0,4000,0,8000,48,0,1,0.271995,0.396108
120,797798.000000,9,20,87,73,0,1,0,0,2,1,2,1,1,0,2,0,6,1,0,0,0,4000,0,8000,48,0,1,0.271995,0.396108
121,797795.000000,11,20,87,74,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.272512,0.396108
122,797792.000000,14,20,87,74,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.273049,0.396108
123,797791.000000,14,19,88,75,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.27325,0.396108
124,797790.000000,13,16,92,76,1,4,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,4000,0,8000,48,0,1,0.273454,0.396108
125,797789.000000,14,16,92,76,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4000,0,8000,48,0,1,0.273615,0.396108
